token_id,lang,translation,created_at,updated_at
1,fr,Adam,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
1,en,Adam,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
2,fr,Arij,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
2,en,Areej,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
3,fr,Oussama,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
3,en,Osama,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
4,fr,Alaa,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
4,en,Alaa,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
5,fr,Olfa,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
5,en,Olfa,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
6,fr,Amel,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
6,en,Amal,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
7,fr,Oumaima,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
7,en,Umaima,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
8,fr,Amine,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
8,en,Amin,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
9,fr,Amina,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
9,en,Amina,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
10,fr,Anas,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
10,en,Anas,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
11,fr,Aymen,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
11,en,Ayman,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
12,fr,Ayoub,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
12,en,Ayub,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
13,fr,Ibrahim,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
13,en,Ibrahim,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
14,fr,Isra,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
14,en,Isra,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
15,fr,Skander,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
15,en,Iskandar,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
16,fr,Elyes,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
16,en,Ilyas,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
17,fr,Imane,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
17,en,Iman,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
18,fr,Ahmed,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
18,en,Ahmad,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
19,fr,El Amjed,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
19,en,Al-Amjad,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
20,fr,El Hamdani,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
20,en,Al-Hamdani,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
21,fr,El Latif,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
21,en,Al-Latif,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
22,fr,El Hadi,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
22,en,Al-Hadi,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
23,fr,Bechir,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
23,en,Bashir,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
24,fr,Bechira,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
24,en,Bashira,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
25,fr,Baha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
25,en,Bahaa,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
26,fr,Bahija,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
26,en,Bahija,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
27,fr,Beya,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
27,en,Baya,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
28,fr,Jadir,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
28,en,Jadir,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
29,fr,Jebran,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
29,en,Jibran,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
30,fr,Djamil,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
30,en,Jamil,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
31,fr,Djamila,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
31,en,Jamila,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
32,fr,Jannat,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
32,en,Jannat,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
33,fr,Jouhayna,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
33,en,Juhayna,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
34,fr,Hatem,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
34,en,Hatim,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
35,fr,Hazem,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
35,en,Hazem,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
36,fr,Habib,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
36,en,Habib,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
37,fr,Habiba,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
37,en,Habiba,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
38,fr,Halouma,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
38,en,Halouma,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
39,fr,Hamza,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
39,en,Hamza,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
40,fr,Hamida,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
40,en,Hamida,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
41,fr,Hanine,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
41,en,Haneen,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
42,fr,Hayet,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
42,en,Hayat,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
43,fr,Khaled,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
43,en,Khalid,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
44,fr,Khadouja,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
44,en,Khadouja,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
45,fr,Khadija,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
45,en,Khadija,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
46,fr,Khalil,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
46,en,Khalil,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
47,fr,Kheira,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
47,en,Kheira,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
48,fr,Dorsaf,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
48,en,Dorsaf,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
49,fr,Roua,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
49,en,Roa,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
50,fr,Radhia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
50,en,Radhiya,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
51,fr,Rakia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
51,en,Rakia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
52,fr,Rania,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
52,en,Rania,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
53,fr,Rabia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
53,en,Rabia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
54,fr,Rachid,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
54,en,Rashid,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
55,fr,Ridha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
55,en,Rida,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
56,fr,Radhiyana,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
56,en,Radyana,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
57,fr,Rafika,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
57,en,Rafika,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
58,fr,Ramzi,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
58,en,Ramzi,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
59,fr,Ranim,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
59,en,Raneem,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
60,fr,Rawan,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
60,en,Rawan,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
61,fr,Raouda,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
61,en,Rawda,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
62,fr,Rayen,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
62,en,Rayan,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
63,fr,Rim,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
63,en,Reem,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
64,fr,Zohra,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
64,en,Zahra,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
65,fr,Ziad,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
65,en,Ziyad,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
66,fr,Zineb,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
66,en,Zaynab,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
67,fr,Sarah,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
67,en,Sarah,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
68,fr,Salem,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
68,en,Salem,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
69,fr,Sami,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
69,en,Sami,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
70,fr,Samia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
70,en,Samia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
71,fr,Sirine,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
71,en,Serene,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
72,fr,Souad,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
72,en,Suad,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
73,fr,Saïd,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
73,en,Saeed,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
74,fr,Sofiane,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
74,en,Sufyan,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
75,fr,Salma,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
75,en,Salma,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
76,fr,Samira,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
76,en,Samira,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
77,fr,Sonia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
77,en,Sonia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
78,fr,Saif,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
78,en,Saif,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
79,fr,Seifeddine,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
79,en,Saif al-Din,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
80,fr,Chadlia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
80,en,Shadliya,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
81,fr,Chafia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
81,en,Shafia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
82,fr,Chahin,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
82,en,Shahin,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
83,fr,Chokri,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
83,en,Shukri,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
