id,native,native_norm,native_lang,type,created_at,updated_at
1,آدم,ادم,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
2,أريج,اريج,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
3,أسامة,اسامه,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
4,ألاء,الاء,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
5,ألفة,الفه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
6,أمل,امل,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
7,أميمة,اميمه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
8,أمين,امين,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
9,أمينة,امينه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
10,أنس,انس,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
11,أيمن,ايمن,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
12,أيوب,ايوب,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
13,إبراهيم,ابراهيم,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
14,إسراء,اسراء,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
15,إسكندر,اسكندر,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
16,إلياس,الياس,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
17,إيمان,ايمان,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
18,احمد,احمد,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
19,الأمجد,الامجد,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
20,الحمداني,الحمداني,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
21,اللطيف,اللطيف,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
22,الهادي,الهادي,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
23,بشير,بشير,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
24,بشيرة,بشيره,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
25,بهاء,بهاء,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
26,بهيجة,بهيجه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
27,بية,بيه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
28,جادير,جادير,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
29,جبران,جبران,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
30,جميل,جميل,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
31,جميلة,جميله,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
32,جنات,جنات,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
33,جهينة,جهينه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
34,حاتم,حاتم,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
35,حازم,حازم,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
36,حبيب,حبيب,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
37,حبيبة,حبيبه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
38,حلومة,حلومه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
39,حمزة,حمزه,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
40,حميدة,حميده,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
41,حنين,حنين,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
42,حياة,حياه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
43,خالد,خالد,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
44,خدوجة,خدوجه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
45,خديجة,خديجه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
46,خليل,خليل,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
47,خيرة,خيره,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
48,درصاف,درصاف,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
49,رؤى,رؤى,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
50,راضية,راضيه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
51,راقية,راقيه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
52,رانية,رانيه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
53,ربيعة,ربيعه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
54,رشيد,رشيد,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
55,رضا,رضا,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
56,رضيانة,رضيانه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
57,رفيقة,رفيقه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
58,رمزي,رمزي,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
59,رنيم,رنيم,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
60,روان,روان,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
61,روضة,روضه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
62,ريان,ريان,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
63,ريم,ريم,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
64,زهرة,زهره,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
65,زياد,زياد,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
66,زينب,زينب,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
67,سارة,ساره,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
68,سالم,سالم,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
69,سامي,سامي,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
70,سامية,ساميه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
71,سرين,سرين,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
72,سعاد,سعاد,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
73,سعيد,سعيد,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
74,سفيان,سفيان,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
75,سلمى,سلمى,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
76,سميرة,سميره,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
77,سونيا,سونيا,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
78,سيف,سيف,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
79,سيف الدين,سيف الدين,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
80,شادلية,شادليه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
81,شافية,شافيه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
82,شاهين,شاهين,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
83,شكري,شكري,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
84,شيخة,شيخه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
85,شيوخة,شيوخه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
86,صابرية,صابريه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
87,صادق,صادق,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
88,صالحة,صالحه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
89,صحبي,صحبي,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
90,صحر,صحر,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
91,صدام,صدام,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
92,صلاح,صلاح,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
93,ضحى,ضحى,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
94,طارق,طارق,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
95,طاهر,طاهر,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
96,طه,طه,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
97,عائشة,عائشه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
98,عبد الرحمان,عبد الرحمان,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
99,عبد السلام,عبد السلام,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
100,عبد القادر,عبد القادر,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
101,عبد الله,عبد الله,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
102,عبد المجيد,عبد المجيد,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
103,عبيدية,عبيديه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
104,عز الدين,عز الدين,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
105,عزيز,عزيز,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
106,عفاف,عفاف,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
107,علي,علي,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
108,عمر,عمر,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
109,عوشة,عوشه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
110,غادة,غاده,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
111,غالية,غاليه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
112,غاني,غاني,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
113,فائزة,فائزه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
114,فارس,فارس,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
115,فاطمة,فاطمه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
116,فاطمي,فاطمي,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
117,فاهمي,فاهمي,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
118,فرحات,فرحات,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
119,فرح,فرح,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
120,قصي,قصي,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
121,كريمة,كريمه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
122,كمال,كمال,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
123,لؤي,لؤي,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
124,لطيفة,لطيفه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
125,لمية,لميه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
126,لينا,لينا,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
127,مالك,مالك,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
128,ماهر,ماهر,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
129,مجد,مجد,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
